,lic_count,co_name
11,654,Alachua
12,42,Baker
13,656,Bay
14,46,Bradford
15,1468,Brevard
16,5132,Broward
17,22,Calhoun
18,432,Charlotte
19,332,Citrus
20,384,Clay
21,1180,Collier
22,166,Columbia
23,8080,Dade
24,52,DeSoto
25,21,Dixie
26,2858,Duval
27,808,Escambia
28,237,Flagler
29,56,Franklin
30,93,Gadsden
31,17,Gilchrist
32,15,Glades
33,49,Gulf
34,28,Hamilton
35,51,Hardee
36,85,Hendry
37,358,Hernando
38,208,Highlands
39,3834,Hillsborough
40,24,Holmes
41,395,Indian River
42,98,Jackson
43,35,Jefferson
44,9,Lafayette
45,771,Lake
46,2153,Lee
47,865,Leon
48,92,Levy
49,3,Liberty
50,36,Madison
51,917,Manatee
52,758,Marion
53,546,Martin
54,692,Monroe
55,229,Nassau
56,708,Okaloosa
57,101,Okeechobee
58,5326,Orange
59,1076,Osceola
60,3823,Palm Beach
61,890,Pasco
62,2899,Pinellas
63,1352,Polk
64,132,Putnam
65,747,St. Johns
66,687,St. Lucie
67,293,Santa Rosa
68,1247,Sarasota
69,1044,Seminole
70,220,Sumter
71,72,Suwannee
72,52,Taylor
73,10,Union
74,1497,Volusia
75,62,Wakulla
76,345,Walton
77,42,Washington
