county,licnum,sitename,streetaddy,cityaddy,zip,closures_fy18,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country,Source
Marion,5202788,Pineapple Sam's Cafe,18976 E Hwy 40,Silver Springs,34488,4,29.175609,-81.83782,1,rooftop,18976,E Hwy 40,Silver Springs,FL,Marion County,34488,US,Marion
Marion,5200016,Richard's Place,316 E Silver Spgs Blvd,Ocala,344705830,4,29.186795,-82.133716,1,rooftop,316,E Silver Springs Blvd,Ocala,FL,Marion County,34470,US,MapWise (and individual Florida counties)
Leon,4703122,New Times Country Buffet,1701 N Monroe St,Tallahassee,32303,3,30.462866,-84.281494,1,rooftop,1701,N Monroe St,Tallahassee,FL,Leon County,32303,US,Leon
Alachua,1103518,Grand Cafe,13 W University Ave,Gainesville,32601-5313,3,29.651802,-82.325495,1,rooftop,13,W University Ave,Gainesville,FL,Alachua County,32601,US,City of Gainesville
Broward,1620527,Asian Buffet & Grill,240 S Federal Highway,Deerfield Beach,33441,3,26.31517,-80.09106,1,rooftop,240,S Federal Hwy,Deerfield Beach,FL,Broward County,33441,US,Statewide2
Orange,5805454,New York Broadway Pizza,"6807 Visitors Cir , Suite B",Orlando,32819,3,28.463567,-81.465212,1,rooftop,6807,Visitors Cir,Orlando,FL,Orange County,32819,US,Statewide2
Pinellas,6217825,Hideaway Pizza Pub,3901 6 St S,St. Petersburg,33705,3,27.733403,-82.641123,0.9,rooftop,3901,6th St S,Saint Petersburg,FL,Pinellas County,33705,US,Pinellas
Polk,6308173,Marco's Pizza,703 N Combee Road,Lakeland,33801,3,28.050498,-81.907701,1,rooftop,703,N Combee Rd,Lakeland,FL,Polk County,33801,US,City of Lakeland
Pinellas,6212759,Los Mariaches #2,9100 Ulmerton Road,Largo,337713821,3,27.893845,-82.765366,1,rooftop,9100,Ulmerton Rd,Largo,FL,Pinellas County,33771,US,City of Pinellas Park
Leon,4702440,Beef O' Brady'S,1800 Thomasville Road,Tallahassee,32303,3,30.464008,-84.27228,1,rooftop,1800,Thomasville Rd,Tallahassee,FL,Leon County,32303,US,Leon
Pasco,6150545,Dona Orlanda Tortas Y Tacos,37511 Lock St,Dade City,33523,3,28.376347,-82.195526,1,rooftop,37511,Lock St,Dade City,FL,Pasco County,33523,US,MapWise (and individual Florida counties)
Duval,2613227,Basil Thai Restaurant And Bar,1004 Hendricks Ave,Jacksonville,32207,3,30.316061,-81.654938,1,rooftop,1004,Hendricks Ave,Jacksonville,FL,Duval County,32207,US,Duval
Pinellas,6217413,Big Apple Buffet,1030 58th St N,St. Petersburg,33710,3,27.782318,-82.713065,1,rooftop,1030,58th St N,Saint Petersburg,FL,Pinellas County,33710,US,Pinellas
Broward,1616745,Notre Dame Rest,4859 N Dixie Hwy,Pompano Beach,33064-4861,2,26.291004,-80.109642,1,rooftop,4859,N Dixie Hwy,Pompano Beach,FL,Broward County,33064,US,Statewide2
Broward,1623821,Nikki's Orange Kitchen,1 Ocean Blvd Sp 102,Pompano Beach,33062,2,26.232108,-80.090925,1,range_interpolation,1,State Hwy A1a,Pompano Beach,FL,Broward County,33062,US,TIGER/Lineå¨ dataset from the US Census Bureau
Brevard,1505609,Rolli Porkloin Extraordinaire,31 East New Haven Ave,Melbourne,32901,2,28.0785,-80.62029,1,rooftop,31,E New Haven Ave,Melbourne,FL,Brevard County,32901,US,Statewide2
Duval,2609087,Jax Market Place Take Out #2,614 Pecan Park Road,Jacksonville,32218,2,30.516304,-81.638464,1,rooftop,614,Pecan Park Rd,Jacksonville,FL,Duval County,32218,US,Duval
Manatee,5100204,Sea Hut Restaurant,U S Hwy 19 & 55 Ave,Palmetto,34221,2,27.53092,-82.560395,0.8,intersection,,19th St E,Palmetto,FL,Manatee County,34221,US,TIGER/Lineå¨ dataset from the US Census Bureau
