county,licnum,sitename,streetaddy,cityaddy,zip
Broward,1601438,Tarks Of Dania,1317 S Federal Hwy,Dania,33004-4361
Broward,1609502,Saveur Tropical Restaurant,515 NE 24 St,Pompano Beach,33064
Broward,1610123,Betty's Rest & BBQ,601 NW 22 Road,Fort Lauderdale,33311-7756
Broward,1610222,Jade Garden Restaurant,244 S University Dr,Plantation,33324
Broward,1616508,Fortune Dragon,7178 N University Dr,Tamarac,33321
Broward,1616931,Asain Grill,7462 Royal Palm Blvd,Margate,33063-6881
Broward,1617882,Ruchi Indian Restaurant,17085 Pines Blvd,Pembroke Pines,33027
Broward,1618482,Duffy's Sports Grill,811 S University Dr,Plantation,33324
Broward,1619578,Carls Seafood Rest Take Out,2934 N State Road 7,Lauderdale Lakes,33313
Broward,1620203,Pollo Tropical #56,14880 SW 31 St,Miramar,33027
Broward,1620527,Asian Buffet & Grill,240 S Federal Highway,Deerfield Beach,33441
Broward,1620853,Smokey Bones Bar & Fire Grill #7533,809 S University Dr,Plantation,33324
Broward,1621370,Maxi Arepa,11386 Miramar Parkway,Miramar,33025
Broward,1621484,Cheddars Casual Cafe,7951 W Commercial Blvd,Tamarac,33321
Broward,1621911,Mr Fish Peruvian Kitchen And Market,"1605 N State Road 7, Suite B",Marget,33063
Broward,1621956,Ric Kin Bing Cuban Cafe Corp,640 E Sample Road,Pompano Beach,33064
Broward,1621981,Sal's Italian Ristorante,"6280 W Sample Road #206, #206",Coral Springs,33067
Broward,1622255,America's Bakery,5022 N Federal Hwy,Lighthouse Point,33064
Broward,1623041,China Star,4233 W Commercial Blvd,Tamarac,33319
Broward,1623388,Amc Theatres Coral Ridge 10,3401 NE 26 Ave,Fort Lauderdale,33306
Broward,1623614,The Steakout,"123 NE 20 Ave, Suite 7",Deerfield Beach,33441
Broward,1623643,Blaze Pizza,6334 N Andrews Ave,Fort Lauderdale,33309
Broward,1623746,Blaze Pizza,2135 S University Dr,Davie,33324
Broward,1623778,La Caravane Take Out Restaurant,560 NE 44 Street,Pompano Beach,33064
Broward,1623951,Este Es Mucho Perro Llc,"8006 W Mcnab Road, Shoppes Of Mcnab",North Lauderdale,33068
Broward,1623958,Sabores Brasil,4831 N Dixie Hwy,Deerfield Beach,33064
Palm Beach,6000392,Debra's Place,785 Northlake Blvd,North Palm Beach,33408-5211
Palm Beach,6005485,"Tideline Ocean Resort And Spa - Palm Beach, A Kimpton Hotel",2842 S Ocean Blvd,Palm Beach,33480
Palm Beach,6008080,Chinatown,3101 Pga Blvd #L217,Palm Beach Gardens,33410-2816
Palm Beach,6008699,Mckenna's Place,4068 Forrest Hill Blvd,Palm Springs,33406
Palm Beach,6010069,Nypd Pizza,127 Federal Hwy,Lake Worth,33460
Palm Beach,6010123,Pollo Tropical #92,2611 Okeechobee Blvd,West Palm Beach,33409-4007
Palm Beach,6010225,Couco Pazzo,915-917 Lake Ave,Lake Worth,33460
Palm Beach,6010700,Fratelli's Italian Grill,"6600 W Atlantic Ave, Suite C",Delray Beach,33446-1604
Palm Beach,6011424,Taqueria Guerrero,628 Belvedere Road,West Palm Beach,33405-1231
Palm Beach,6012182,Taco Al Carbon,4420 Lake Worth Road,Lake Worth,33461
Palm Beach,6014070,Fuel For Fit Fl,1501 S Dixie Hwy,Lantana,33462
Palm Beach,6019435,Dunkin Donuts,12040 S Jog Road,Boynton Beach,33437
Palm Beach,6019842,Mccrays Backyard BBQ And Seafood,1549 W Blue Heron Blvd,Riviera Beach,33404
Palm Beach,6019992,La Granja Restaurant,4282 Okeechobee Blvd,West Palm Beach,33409
Palm Beach,6020708,Mel's Way Bistro & Bar,3536 Via Poinciana Dr,Lake Worth,33467
Palm Beach,6020866,Jon Smith Subs,1124 Royal Palm Beach Blvd,Royal Palm Beach,33411
Palm Beach,6021469,Cabo Flats,1352 S US Hwy 1,Jupiter,33477
Palm Beach,6021672,Carnitas Lunch,2107 10Th Ave North,Lake Worth,33461
Palm Beach,6021685,Panaderia Y Restaurante El Limon Llc,11 N H St,Lake Worth,33460
Dade,2300174,Express-O-Cafe,4767 NW 36 St,Miami Springs,33166
Dade,2301334,Mingies Chinese Restaurant,760 NW 183rd St,Miami,33169
Dade,2302205,Hia Burger King,891 W 49 St,Hialeah,33012
Dade,2302441,Bamboo Garden Chinese Rest,1232 NE 163 St,North Miami Beach,331624637
Dade,2313910,Kung Fu Restaurant,1098 W 29 St,Hialeah,33012
Dade,2316103,Los Primos Cafeteria & Grill #2,1864 SW 8 St,Miami,33135
Dade,2316608,Gold China Restaurant,15055 S Dixie Hwy,Miami,331767930
Dade,2316923,La Criollita Cafeteria,3701 NW 79 St,Miami,331474438
Dade,2316938,Bagel Cove Restaurant And Deli,19003 Biscayne Blvd,Aventura,33180
Dade,2317268,Church's Chicken #1109,17495 NW 27 Ave,Opa-Locka,33056
Dade,2317455,Southern Long Gong Restaurant Llc,11920 SW 8 St,Miami,33184
Dade,2317878,Simon Lumiere Restaurant,12750 W Dixie Hwy,North Miami,33161
Dade,2319321,Church's Chicken #1101,13200 NW 27 Ave,Opa-Locka,33054
Dade,2320070,L C's Fast Food Joint,19505 NW 2 Ave,Miami,331693335
Dade,2320186,El Rinconcito Paisa #4,9700 SW 24 St,Miami,33165
Dade,2320492,Lings Garden,12749 Biscayne Blvd,North Miami,331812003
Dade,2320990,Y & C Restaurant Inc,1242 NE 163 St,North Miami Beach,33162
Dade,2321288,Yi-Wong Chinese Rest,13760 SW 8 St,Miami,331843030
Dade,2321904,Bagels & Co,11064 Biscayne Blvd,Miami,33161-7477
Dade,2323288,Outback Steakhouse,3161 NE 163 St,North Miami Beach,33160
Dade,2325658,Berries Coconut Grove,2884 SW 27 Ave,Coconut Grove,331333760
Dade,2326266,Ocean Five Bistro,444 Ocean Dr,Miami Beach,33139
Dade,2326333,El Pub Restaurant,1548 SW 8 St,Miami,33135
Dade,2326493,Romanos Macaroni Grill,8700 NW 18 Terrace,Miami,33172
Dade,2326554,Mex Mexican Grill,16850 Collins Ave Ste-104,Sunny Isles Beach,33160
Dade,2326792,Moshi Moshi,1448 Washington Ave,Miami Beach,33139
Dade,2326855,Bocas Grill,3399 NW 72 Ave #128,Miami,33122
Dade,2326991,La Gran Parada Dominicana,7503 NW 32 Ave,Miami,33147
Dade,2327021,Holiday Inn Miami/Doral Area,3255 NW 87 Ave,Miami,33166
Dade,2327201,Lutong Pindy Filipino Cuisine,17048 W Dixie Hwy,North Miami Beach,33160
Dade,2327662,Las Brisas Cafe,18190 W Dixie Hwy,North Miami Beach,33160
Dade,2328217,Sushi Express,17044 W Dixie Hwy,North Miami Beach,33160
Dade,2328244,Bryan Cafeteria,450 E 4 Avenue,Hialeah,33010
Dade,2328689,China Buffet,18690 NW 67 Ave,Hialeah,33015
Dade,2328723,El Gran Inka,3155 NE 163 St,Golden Beach,33160
Dade,2329207,Ray's Cakes & Catering Llc,16606 N Miami Ave,Miami,33169
Dade,2330417,Happy Buffet,1533 W 49 St,Hialeah,33012-2924
Dade,2330825,Sak Pase Restaurant,27156 S Dixie Hwy,Naranja,33032
Dade,2331007,Social Cafe,1024 Ocean Drive,Miami Beach,33139
Dade,2332107,Fruteria Latin Proud,4290 E 4 Ave,Hialeah,33013
Dade,2332886,Gari Maria Restaurant Inc,229 NW 22 Ave,Miami,33125
Dade,2333407,Aroma Espresso Bar,540 Collins Ave,Miami Beach,33139
Dade,2333494,Dominos Pizza,17028 Collins Ave,Sunny Isles,33160
Dade,2333674,Restaurant At Croydon / The Tavern,3720 Collins Ave,Miami Beach,33140
Dade,2333920,Ceviche Inka,14782 SW 56 St,Miami,33185
Dade,2334035,Hilton Cabana Miami Beach-L'Echon,6261 Collins Ave,Miami Beach,33140
Dade,2334080,Wingstop,1452-1454 NE 163 St,North Miami Beach,33162
Dade,2334087,Traymore By Michael Schwartz,2445 Collins Avenue,Miami Beach,33140
Dade,2334256,Dunkin Donuts,95 NW 167 St,North Miami Beach,33169
Dade,2334448,Nikki Hampton Edwards Catering And Planning,3185 NW 207 Street,Miami Gardens,33056
Dade,2335016,Eat Greek Express,3530 Biscayne Blvd,Miami,33137
Dade,2335142,Bodegon 71,1014 71 St,Miami Beach,33141
Dade,2335640,Cilantro And Limes,"941 W Palm Dr , Suite 7-8",Florida City,33034
Dade,2335893,Browns Kitchen,27455 South Dixie Hwy Booth 11,Homestead,33032
Monroe,5402678,Outback Steakhouse,3230 N Roosevelt Blvd,Key West,33040
Monroe,5402682,Waffle House #1310,100270 Overseas Hwy,Key Largo,33037
Monroe,5402811,nan,1801 N Roosevelt Blvd,Key West,33040
Citrus,1900187,West 82,9301 W Fort Island Trl,Crystal River,34429
Citrus,1900890,Suncoast Bar & Grill,10350 W Yulee Dr,Homosassa,34448
Citrus,1901176,Mr King Chinese Restaurant,471 1 Terr Ne,Crystal River,34429
Citrus,1901235,Clawdaddys Raw Bar & Grill,1601 SE Hwy 19,Crystal River,34429
Hernando,3700791,Thai Cuisine,11078 Spring Hill Dr,Spring Hill,34608
Hernando,3700922,Golden Wok,4148 Mariner Blvd,Spring Hill,34609
Hernando,3700963,Hernando Oaks Golf Club,5230 Delacroix Dr,Brooksville,34604
Hernando,3701045,China Taste,19328 Cortez Blvd,Brooksville,34601
Hernando,3701089,Beef O Brady'S,"14387 Springhill Dr, Suite 400",Spring Hill,34609
Hernando,3701167,Twistee Treat,13190 Cortez Blvd,Brooksville,34613
Hernando,3701199,Pk's Shipwreck,7224 Shoal Line Blvd,Weeki Wachee,34607
