id,visitid,violation,details_id,obs
525,6673447,35A-06-4,17773441,"Basic - Accumulation of dead rodents, in control devices. Dead rat in trap next to linen basket next to office. Cleaned up.  **Corrected On-Site**"
526,6673447,23-03-4,17773457,Basic - Build-up of grease on nonfood-contact surface. Outside next to employee entrance
527,6673447,36-75-4,17773459,"Basic - Build-up of soil/debris on the floor
1) large chest freezer in back room
2) behind beer cooler across ice machine
3) behind ice machine
4) under triple sink
5) behind cookline and counter."
528,6673447,36-36-4,17773455,Basic - Ceiling tiles falling in back room.
529,6673447,24-05-4,17773442,Basic - Clean plates  not stored inverted or in a protected manner. Prep area shelf. **Repeat Violation**
530,6673447,35A-03-4,17773464,"Basic - Dead roaches on premises. 1 dead dried roach next to walkin cooler. 1 dead, dried roach in sticky trap. Cleaned up,  **Corrected On-Site**"
531,6673447,35A-20-4,17773448,Basic - Dead rodent present. 1 dead rat Under soda boxes in back room.
532,6673447,33-14-4,17773451,Basic - Dumpster overflowing garbage. Cardboard
533,6673447,36-22-4,17773461,"Basic - Floor area(s) covered with standing water.
Parking lot-repeat violation.
2) mop sink **Repeat Violation**"
534,6673447,08B-12-4,17773440,"Basic - Food stored in holding unit not covered. Wing sauce not covered on prep table in prep area, covered sauces,  **Corrected On-Site**"
535,6673447,08B-31-4,17773439,Basic - Food stored in undrained ice. Shrimp at front counter in prep sink.
536,6673447,33-19-4,17773445,Basic - Garbage on the ground and/or pad around dumpster. **Repeat Violation**
537,6673447,36-31-4,17773449,"Basic - Hole in ceiling, next to red soda lines."
538,6673447,10-06-4,17773458,Basic - In-use utensil not stored with handle above the top of potentially hazardous (time/temperature control for safety) food and rim of the container. Inside conch salad.
539,6673447,33-16-4,17773465,Basic - Open dumpster lid.
540,6673447,36-27-5,17773447,"Basic - Wall soiled with accumulated grease, food debris, and/or dust, behind large ice machine **Repeat Violation**"
541,6673447,21-07-4,17773454,Basic - Wiping cloth chlorine sanitizing solution not at proper minimum strength. sanitizer bucket chlorine 0 ppm. Front counter. **Repeat Violation**
542,6673447,35A-07-4,17773443,High Priority - 75-100 Dead Small flying insects in light fixture above ice machine in kitchen.
543,6673447,03A-15-4,17773450,"High Priority - All potentially hazardous (time/temperature control for safety) foods in reach-in cooler cold held at greater than 41 degrees Fahrenheit. Shrimp 56°, 57° conch fritter mix, conch salad 56° in silver cooler in prep area; 2) fresh garlic 82° on counter..stop sale **Repeat Violation**"
544,6673447,03G-11-4,17773462,"High Priority - Reduced oxygen packaged fish packaged onsite no longer frozen and not removed from reduced oxygen package. Front counter, grouper."
545,6673447,35A-05-4,17773460,High Priority - Roach activity present as evidenced by live roaches found. 1) 1 live in paper towel holder in kitchen. Live roach went down the handsink drain.
546,6673447,35A-04-4,17773453,"High Priority - Rodent activity present as evidenced by rodent droppings found. 
1) 15 plus dried rodent droppings next to dead rat next to linen basket, next to office.cleaned up.
2) 1 dried rodent dropping on shelf under electric panel-cleaned up.
3) 1 dried rodent dropping under triple sink-cleaned up.
4) 10 dried rodent droppings behind ice machine in kitchen."
547,6673447,01B-02-4,17773444,"High Priority - Stop Sale issued on potentially hazardous (time/temperature control for safety) food due to temperature abuse. Shrimp 56°, 57° conch fritter mix, conch salad 56°."
548,6673447,01C-03-4,17773463,Intermediate - Clam/oyster tags not marked with last date served.
549,6673447,53A-01-6,17773452,Intermediate - Manager lacking proof of food manager certification.  A list of accredited food manager certification examination providers can be found at http://www.myfloridalicense.com/DBPR/hotels-restaurants/food-lodging/food-manager/ **Repeat Violation**
550,6673447,53B-01-5,17773446,"Intermediate - No proof of required state approved employee training provided for any employees. To order approved program food safety material, call DBPR contracted provider:  Florida Restaurant and Lodging Association (SafeStaff) 866-372-7233. **Repeat Violation**"
551,6673447,22-01-4,17773456,Intermediate - Soda gun soiled. Front counter.
1222,6646049,35A-03-4,17973607,"Basic - Dead roaches on premises.
3 dead roaches on top of box of chicken inside chest freezer by unused walkin cooler. **Warning**"
1223,6646049,23-07-4,17973606,Basic - Gaskets soiled in coolers and freezers throughout. **Warning**
1224,6646049,22-45-4,17973602,"High Priority - Food-contact surfaces not sanitized after cleaning, before use. Do not use equipment/utensils not properly sanitized. Prep table and steam table contaminated by rodent droppings not cleaned and sanitized. **Warning**"
1225,6646049,03A-02-4,17973609,"High Priority - Potentially hazardous (time/temperature control for safety) food cold held at greater than 41 degrees Fahrenheit.
Chicken 52F, chicken 49F, Turkey 47F, and pork 48F at cookline on prep table under no temperature control. Out for about 1 hour. Foods moved to freezer to quick chill. **Warning**"
1226,6646049,08A-18-5,17973611,High Priority - Raw animal foods not properly separated from one another based upon minimum required cooking temperature in reach-in freezer - all products not commercially packaged. Raw beef next to and touching raw chicken at chest freezer near unused walkin cooler. **Warning**
1227,6646049,35A-04-4,17973610,"High Priority - Rodent activity present as evidenced by rodent droppings found. 
Observed approximately:
2 fresh and 2 dry rodent droppings in front counter area.
1 fresh and 1 dry rodent dropping  under speed rack near walkin cooler
1 fresh and 1 dry rodent dropping under prep table at end of cookline
3 fresh droppings on table top where large microwave is stored.
1 fresh rodent dropping on top of small microwave.
20 fresh rodent droppings behind prep table in microwave area.
7 fresh on unused steam tables at cookline
10 dry rodent droppings in the restroom
1 fresh rodent dropping near dry storage shelving
 **Warning**"
1228,6646049,41-11-4,17973604,"High Priority - Toxic substance/chemical stored by or with single-service items.
Mouse pest control pellets next to takeout boxes and underseasonings at produce storage walkin cooler.  Pellets moved. **Corrected On-Site** **Warning**"
1229,6646049,11-07-4,17973603,"Intermediate - Certified Food Manager or person in charge lacks knowledge of foodborne illnesses and symptoms of illness that would prevent an employee from working with food, clean equipment and utensils, and single-service items. Reviewed symptoms and Big Five. Emailed Poster. **Corrective Action Taken** **Warning**"
1230,6646049,22-28-4,17973605,Intermediate - Interior of reach-in cooler soiled with accumulation of food residue. Small reachin cooler in cookline area soiled inside. **Warning**
1231,6646049,16-35-4,17973608,Intermediate - No chlorine chemical test kit provided when using chlorine sanitizer at three-compartment sink. **Warning**
1232,6646049,31B-02-4,17973613,Intermediate - No paper towels or mechanical hand drying device provided at handwash sink. In restroom and dishwashing area. Paper towels provided. **Corrected On-Site** **Warning**
1233,6646049,05-08-4,17973614,Intermediate - No probe thermometer provided to measure temperature of food products. **Warning**
1234,6646049,31B-03-4,17973612,Intermediate - No soap provided at handwash sink in restroom and dishwashing area. Soap provided. **Corrected On-Site** **Warning**
1490,6690254,08B-45-4,17852667,Basic - Case/container/bag of food stored on floor in walk-in cooler/freezer. Onions
1491,6690254,35A-03-4,17852668,Basic - Dead roaches on premises. 2 found on top of plastic container in dry storage.
1492,6690254,35A-20-4,17852666,"Basic - Dead rodent present. 3 dead mice found on glue trap under pallet in dry storage area, 2 dead mice found on glue trap in Walk In Cooler."
1493,6690254,36-14-4,17852671,Basic - Grease accumulated on kitchen floor and/or under cooking equipment
1494,6690254,10-07-4,17852673,Basic - In-use utensil stored in standing water less than 135 degrees Fahrenheit. Serving Spoons next to Rice Steamer
1495,6690254,22-19-4,17852665,Basic - Interior of microwave soiled with encrusted food debris.
1496,6690254,29-11-4,17852669,Basic - Water leaking from pipe and/or faucet/handle. Under 3 Compartment sink.
1497,6690254,35A-04-4,17852670,"High Priority - Rodent activity present as evidenced by rodent droppings found. Approximately 30 fresh droppings on top of dish washer,"
1498,6690254,02C-02-4,17852672,"Intermediate - Ready-to-eat, potentially hazardous (time/temperature control for safety) food prepared onsite and held more than 24 hours not properly date marked. Pork ribs. Walk In Cooler."
1586,6703478,35A-03-4,17871177,"Basic - 1 Dead roach next to expo shelf,  1 in dishwashing area and 1 behind ice machine, 1 next to bottle beer in front area. **Warning**"
1587,6703478,35A-06-4,17871166,"Basic - Accumulation of dead flies on control device over ice machine.
 **Warning**"
1588,6703478,29-38-4,17871174,Basic - Backflow device not located for convenient service or maintenance access where hose is connected to splitter at back door near employee bathroom. **Warning**
1589,6703478,36-75-4,17871173,Basic - Build-up of soil/debris on the floor under shelving in dry storage area. **Warning**
1590,6703478,40-06-4,17871164,"Basic - Employee personal items stored in or above a food preparation area.

Observed employee cellphone stored on shelves above cookline. Operator removed cell from shelves. **Corrected On-Site** **Warning**"
1591,6703478,13-03-4,17871182,Basic - Employee with no hair restraint while engaging in food preparation. **Warning**
1592,6703478,36-73-4,17871175,Basic - Floor soiled/has accumulation of debris. **Warning**
1593,6703478,23-23-4,17871162,Basic - Floor/table fan has accumulation of food debris/dust/grease/soil residue. **Warning**
1594,6703478,08B-36-4,17871154,Basic - Food stored in a location that is exposed to dust. Observed egg rolls stored on hot expo line that has a build of dust. **Warning**
1595,6703478,08B-12-4,17871172,Basic - Food stored in holding unit not covered. Observed egg rolls stored in walk in freezer not cover. **Warning**
1596,6703478,36-14-4,17871176,Basic - Grease accumulated on kitchen floor and under cooking equipment. **Warning**
