id,visitid,violation,details_id,obs
1566,6704152,29-38-4,17873284,Basic - - From initial inspection : Basic - Backflow device not located for convenient service or maintenance access where hose is connected to splitter at back door near employee bathroom. **Warning**     - From follow-up inspection 2018-08-16: Violation still observed. **Time Extended**
1567,6704152,36-73-4,17873275,Basic - - From initial inspection : Basic - Floor soiled/has accumulation of debris. **Warning**     - From follow-up inspection 2018-08-16: Entire kitchen floor still needs cleaning. **Time Extended**
1568,6704152,23-23-4,17873283,Basic - - From initial inspection : Basic - Floor/table fan has accumulation of food debris/dust/grease/soil residue. **Warning**     - From follow-up inspection 2018-08-16: Violation still observed. **Time Extended**
1569,6704152,36-14-4,17873278,Basic - - From initial inspection : Basic - Grease accumulated on kitchen floor and under cooking equipment. **Warning**     - From follow-up inspection 2018-08-16: Operator cleaned under fryers however there's is grease buildup under wok and steam table.  **Time Extended**
1570,6704152,14-36-5,17873276,Basic - - From initial inspection : Basic - Interior of chest freezer near cookline has exposed insulation and ice build up. **Warning**     - From follow-up inspection 2018-08-16: Violation still observed. **Time Extended**
1571,6704152,14-31-4,17873280,Basic - - From initial inspection : Basic - Nonfood-grade bags used in direct contact with food. Observed in reach in freezer **Warning**     - From follow-up inspection 2018-08-16: Observed reuse of old containers to store foods. **Time Extended**
1572,6704152,29-07-5,17873274,Basic - - From initial inspection : Basic - Plumbing system improperly installed or repaired. Observed plumbing lines outside walk in cooler draining on floor. **Warning**     - From follow-up inspection 2018-08-16: Violation still observed. **Time Extended**
1573,6704152,23-12-4,17873272,"Basic - - From initial inspection : Basic - Walk-in cooler  shelves soiled with encrusted food debris. Air curtain in walk in cooler has build up of green mold like substance.

Flip top Reach in cooler at cookline gasket and interior has build up of mold like substance.  **Warning**     - From follow-up inspection 2018-08-16: Violation still observed in walk in cooler and flip top Reach in cooler at cookline. **Time Extended**"
1574,6704152,29-11-4,17873273,"Basic - - From initial inspection : Basic - Water leaking from pipe and/or faucet/handle.  Observed hws sink leaking on floor by walk in cooler. 

Observed leak under sink at dish washing area **Warning**     - From follow-up inspection 2018-08-16: Violation still observed. **Time Extended**"
1575,6704152,03A-02-4,17873282,"High Priority - - From initial inspection : High Priority - Potentially hazardous (time/temperature control for safety) food cold held at greater than 41 degrees Fahrenheit.
Observed in walk in cooler raw pork 49-52F; cooked shrimp 46F - Cold Holding; raw shrimp  37F; roast pork 45-46F - Cold Holding.  Operator was advised to put ice on foods or open freezer door to bring the temperature below 41F.**Repeat Violation**


flip top cooler at cookline -cooked chicken 58-60F - Cold Holding; cooked shrimp 44-56F - Cold Holding; raw shrimp 47F - Cold Holding; cooked pork 43F - Cold Holding; raw beef 48F - Cold Holding; ham 48F cold holding; cooked tofu 44-45F - Cold Holding; noodles in water 44-45F - Cold Holding; cooked noodles 43-45F - Cold Holding;raw pork 53F. Operator was advised to put foods on ice. **Repeat Violation** **Warning**     - From follow-up inspection 2018-08-16: No cold holding violation observed in walk in cooler- rice 43F, cooked chicken 42F, dumplings 42F, sprouts 42F.  

Observed on left side of flip top cooler at cookline foods stored in unit overnight shut off. Raw shrimp 68F cold holding , raw beef 78F  cold holding, cooked chicken 65F cold holding, cooked shrimp 64F cold holding, cooked pork 69F cold holding, garlic in oil 65F cold holding, water chestnuts 64F cold holding, mushrooms 65F cold holding, fried tofu 67F, cooked dumplings 65F cold holding, cooked ham 67F cold holding, sprouts 65F cold holding, rice noodles 63F cold holding,. See stop sale. **Time Extended**"
1576,6704152,03D-05-4,17873277,"High Priority - - From initial inspection : High Priority - Potentially hazardous (time/temperature control for safety) food cooked/heated yesterday/on a previous day not cooled from 135 degrees Fahrenheit to 41 degrees Fahrenheit within a total of 6 hours. Food has been cooling overnight.  See stop sale.

Observed in walk in cooler egg rolls  at 46-47F - overnight Cooling, wonton  51-80F - Cooling; and cooked chicken at 44-47F - overnight Cooling. Per operator items were cooked yesterday and placed in unit. Eggs rolls and cooked chicken did not reach 41F and below overnight. See stop sale. **Warning**     - From follow-up inspection 2018-08-16: Observed in walk in cooler the cooling food cooling in covered containers. Cooked white rice 49-52F overnight cooling, cooked fried rice 49F overnight cooling, cooked chicken 49-51F overnight cooling, cooked ribs 44-48F overnight cooling, cooked noodles 44-48F overnight cooling, soup 52-53F overnight cooling. See stop sale. **Time Extended**"
