county,licnum,sitename,streetaddy,cityaddy,zip,0
Marion,5202788,Pineapple Sam's Cafe,18976 E Hwy 40,Silver Springs,34488,4
Marion,5200016,Richard's Place,316 E Silver Spgs Blvd,Ocala,344705830,4
Leon,4703122,New Times Country Buffet,1701 N Monroe St,Tallahassee,32303,3
Alachua,1103518,Grand Cafe,13 W University Ave,Gainesville,32601-5313,3
Broward,1620527,Asian Buffet & Grill,240 S Federal Highway,Deerfield Beach,33441,3
Orange,5805454,New York Broadway Pizza,"6807 Visitors Cir , Suite B",Orlando,32819,3
Pinellas,6217825,Hideaway Pizza Pub,3901 6 St S,St. Petersburg,33705,3
Polk,6308173,Marco's Pizza,703 N Combee Road,Lakeland,33801,3
Pinellas,6212759,Los Mariaches #2,9100 Ulmerton Road,Largo,337713821,3
Leon,4702440,Beef O' Brady'S,1800 Thomasville Road,Tallahassee,32303,3
Pasco,6150545,Dona Orlanda Tortas Y Tacos,37511 Lock St,Dade City,33523,3
Duval,2613227,Basil Thai Restaurant And Bar,1004 Hendricks Ave,Jacksonville,32207,3
Pinellas,6217413,Big Apple Buffet,1030 58th St N,St. Petersburg,33710,3
Broward,1616745,Notre Dame Rest,4859 N Dixie Hwy,Pompano Beach,33064-4861,2
Broward,1623821,Nikki's Orange Kitchen,1 Ocean Blvd Sp 102,Pompano Beach,33062,2
Brevard,1505609,Rolli Porkloin Extraordinaire,31 East New Haven Ave,Melbourne,32901,2
Duval,2609087,Jax Market Place Take Out #2,614 Pecan Park Road,Jacksonville,32218,2
Manatee,5100204,Sea Hut Restaurant,U S Hwy 19 & 55 Ave,Palmetto,34221,2
Palm Beach,6021666,Cafeteria Hellen,4047 Okeechobee Blvd #207,West Palm Beach,33409,2
Duval,2612424,Blu Diner,5868 Norwood Ave,Jacksonville,32208,2
Dade,2317878,Simon Lumiere Restaurant,12750 W Dixie Hwy,North Miami,33161,2
Hillsborough,3912624,China Yuan Restaurant,8502 N Armenia Ave #A1,Tampa,33604,2
